,image_name,x,y,score
194,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,973,296,0.9643992781639099
195,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,787,225,0.9484972953796387
196,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,455,218,0.9208695888519287
197,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,455,215,0.41497379541397095
198,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,455,213,0.24525482952594757
199,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1483,193,0.506415069103241
200,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1482,191,0.23244121670722961
201,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1482,188,0.7755190134048462
202,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1847,114,0.15027858316898346
203,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1843,108,0.8727740049362183
204,RPE1wt_CEP63+CETN2+PCNT_1_004_003_max_C1,1294,16,0.9521679282188416
205,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1152,1971,0.9184809923171997
206,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,939,1917,0.9632265567779541
207,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,964,1913,0.5297165513038635
208,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,970,1912,0.11571624130010605
209,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,94,1757,0.8169516921043396
210,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,452,1737,0.9211041927337646
211,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,766,1726,0.11040379106998444
212,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,761,1724,0.8804427981376648
213,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1970,1706,0.914496123790741
214,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1303,1685,0.8120629787445068
215,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1302,1678,0.7440481185913086
216,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1696,1653,0.7574989795684814
217,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1686,1644,0.8988770246505737
218,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,270,1615,0.879970908164978
219,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1106,1369,0.8091685771942139
220,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,81,1365,0.9607883095741272
221,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1107,1361,0.9515663385391235
222,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1416,1345,0.8988731503486633
223,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1415,1339,0.5181484222412109
224,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1924,1322,0.9339442849159241
225,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,660,1319,0.3148461580276489
226,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,654,1316,0.8899325132369995
227,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,332,1299,0.5369711518287659
228,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,330,1298,0.3856896460056305
229,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,328,1298,0.3305116295814514
230,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1845,1285,0.9237049221992493
231,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,863,1198,0.8548307418823242
232,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,459,1113,0.8789317607879639
233,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1302,1083,0.8193896412849426
234,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1300,1081,0.8827163577079773
235,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1003,1048,0.9524336457252502
236,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1998,970,0.8678527474403381
237,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,167,964,0.8631656169891357
238,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,2013,958,0.9419989585876465
239,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1685,945,0.8717907667160034
240,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1162,916,0.6679566502571106
241,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1162,912,0.39440783858299255
242,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1771,891,0.9376655220985413
243,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,440,812,0.9664046764373779
244,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1473,789,0.10244864970445633
245,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1468,782,0.9039203524589539
246,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1474,781,0.1788019835948944
247,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,410,721,0.9334890246391296
248,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,832,700,0.89113450050354
249,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1782,489,0.3305116295814514
250,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1776,486,0.9161749482154846
251,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1240,439,0.10697353631258011
252,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1235,437,0.8409681916236877
253,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,84,428,0.9577444791793823
254,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,91,413,0.9237578511238098
255,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,461,363,0.8784382343292236
256,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,461,359,0.20066294074058533
257,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1027,358,0.9003118276596069
258,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1450,349,0.9324658513069153
259,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1442,346,0.8477100729942322
260,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,717,247,0.9141753911972046
261,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,720,244,0.11929800361394882
262,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1217,66,0.8629613518714905
263,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1675,40,0.7493452429771423
264,RPE1wt_CEP63+CETN2+PCNT_1_002_001_max_C1,1680,36,0.9326972365379333
265,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,87,1921,0.5944957733154297
266,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,82,1915,0.8916618227958679
267,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,643,1891,0.9089453816413879
268,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,647,1887,0.24417433142662048
269,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1368,1856,0.8878591060638428
270,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1353,1852,0.9226966500282288
271,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1708,1631,0.8286312818527222
272,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,56,1611,0.7172859907150269
273,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,54,1604,0.9288781881332397
274,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,452,1581,0.758424699306488
275,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,451,1572,0.8734673857688904
276,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1360,1564,0.8692636489868164
277,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,943,1548,0.8754851222038269
278,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,892,1499,0.9345315098762512
279,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1849,1363,0.923906683921814
280,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1852,1357,0.9423449635505676
281,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,49,1248,0.9772146344184875
282,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,89,1242,0.9752146005630493
283,RPE1wt_CEP63+CETN2+PCNT_1_001_004_max_C1,1106,1212,0.8854430913925171
